,Date From,Date To,Name,Venue,Country,Category,Calendar,Class,EMail,Website
19702,15.01.2023,17.01.2023,Santos Tour Down Under,,AUS,WE,MON,2.WWT,tourdownunder2@sa.gov.au,tourdownunder.com.au
19704,17.01.2023,22.01.2023,Santos Tour Down Under,,AUS,ME,UWT,2.UWT,Tourdownunder2@sa.gov.au,www.tourdownunder.com.au
19720,28.01.2023,28.01.2023,Cadel Evans Great Ocean Road Race - Elite Women's Race,,AUS,WE,MON,1.WWT,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au
19721,29.01.2023,29.01.2023,Cadel Evans Great Ocean Road Race,,AUS,ME,UWT,1.UWT,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au
19738,09.02.2023,12.02.2023,UAE Tour,,UAE,WE,MON,2.WWT,f.damico@rcssportsandevents.com ; MAlRemeithi@adsc.gov.ae,
19759,20.02.2023,26.02.2023,UAE Tour,,UAE,ME,UWT,2.UWT,luca.papini@rcs.it; f.damico@rcssportsandevents.com,www.theuaetour.com
19761,25.02.2023,25.02.2023,Omloop Het Nieuwsblad Elite,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.omloophetnieuwsblad.be
19762,25.02.2023,25.02.2023,Omloop Het Nieuwsblad,,BEL,WE,MON,1.WWT,maja.leye@flandersclassics.be,www.omloophetnieuwsblad.be
19786,04.03.2023,04.03.2023,Strade Bianche,,ITA,WE,MON,1.WWT,giusy.virelli@rcs.it,www.strade-bianche.it
19787,04.03.2023,04.03.2023,Strade Bianche,,ITA,ME,UWT,1.UWT,stefano.allocchio@rcs.it,www.strade-bianche.it
19797,05.03.2023,12.03.2023,Paris-Nice,,FRA,ME,UWT,2.UWT,tgouvenou@aso.fr,www.letour.fr
19799,06.03.2023,12.03.2023,Tirreno-Adriatico,,ITA,ME,UWT,2.UWT,stefano.allocchio@rcs.it,www.tirrenoadriatico.it
19809,11.03.2023,11.03.2023,Miron Ronde van Drenthe,,NED,WE,MON,1.WWT,rondevandrenthe@home.nl,www.rondevandrenthe.nl
19823,18.03.2023,18.03.2023,Milano-Sanremo,,ITA,ME,UWT,1.UWT,stefano.allocchio@rcs.it,www.milanosanremo.it
19832,19.03.2023,19.03.2023,Trofeo Alfredo Binda - Comune di Cittiglio,,ITA,WE,MON,1.WWT,mario.minervino@email.it; mario.minervino@trofeobinda.com,www.cyclingsportpromotion.com
19834,20.03.2023,26.03.2023,Volta Ciclista a Catalunya,,ESP,ME,UWT,2.UWT,volta@voltacatalunya.cat,www.voltacatalunya.cat
19836,22.03.2023,22.03.2023,Classic Brugge-De Panne,,BEL,ME,UWT,1.UWT,secretariaat@kvcps.be,www.bruggedepanneclassic.be
19841,23.03.2023,23.03.2023,Classic Brugge-De Panne,,BEL,WE,MON,1.WWT,secretariaat@kvcps.be,www.bruggedepanneclassic.be
19842,24.03.2023,24.03.2023,E3 Saxo Classic,,BEL,ME,UWT,1.UWT,info@e3saxobankclassic.be,www.e3saxobankclassic.be
19846,26.03.2023,26.03.2023,Gent-Wevelgem In Flanders Fields,,BEL,WE,MON,1.WWT,nicolas.denys@flandersclassics.be,www.gent-wevelgem.be
19847,26.03.2023,26.03.2023,Gent-Wevelgem in Flanders Fields,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.gent-wevelgem.be
19855,29.03.2023,29.03.2023,Dwars door Vlaanderen - A travers la Flandre,,BEL,ME,UWT,1.UWT,info@ddvl.eu,www.ddvl.eu
19865,02.04.2023,02.04.2023,Ronde van Vlaanderen - Tour des Flandres,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.rondevanvlaanderen.be
19866,02.04.2023,02.04.2023,Ronde van Vlaanderen - Tour des Flandres,,BEL,WE,MON,1.WWT,maja.leye@flandersclassics.be,www.rondevanvlaanderen.be
19867,03.04.2023,08.04.2023,Itzulia Basque Country,,ESP,ME,UWT,2.UWT,admon@oceta.eus,www.itzulia.eus
19876,08.04.2023,08.04.2023,Paris-Roubaix Femmes,,FRA,WE,MON,1.WWT,tgouvenou@aso.fr,www.letour.fr
19878,09.04.2023,09.04.2023,Paris-Roubaix,,FRA,ME,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr
19899,16.04.2023,16.04.2023,Amstel Gold Race,,NED,ME,UWT,1.UWT,info@amstelgoldrace.nl,www.amstelgoldrace.nl
19900,16.04.2023,16.04.2023,Amstel Gold Race Ladies Edition,,NED,WE,MON,1.WWT,info@amstelgoldrace.nl,www.amstelgoldrace.com
19909,19.04.2023,19.04.2023,La Flèche Wallonne Féminine,,BEL,WE,MON,1.WWT,fernandlambertrlvb@hotmail.com,http://www.letour.fr/la-fleche-wallonne-femme/
